Date,시가,고가,저가,종가,거래량,변동률
2022-01-20,"42,150원","43,200원","40,350원","42,750원","4,998,251건",2.27%
2022-01-21,"42,050원","44,900원","42,000원","43,800원","5,118,066건",2.46%
2022-01-24,"43,550원","43,700원","41,850원","42,000원","1,947,137건",-4.11%
2022-01-25,"42,050원","42,400원","40,200원","40,250원","2,238,405건",-4.17%
2022-01-26,"40,300원","42,500원","40,300원","40,550원","3,305,595건",0.75%
2022-01-27,"40,850원","41,100원","39,550원","39,650원","2,378,780건",-2.22%
2022-01-28,"40,000원","41,200원","39,550원","41,000원","2,106,118건",3.40%
2022-02-03,"41,850원","42,150원","41,050원","41,350원","2,175,768건",0.85%
2022-02-04,"41,350원","42,350원","41,150원","42,100원","1,646,053건",1.81%
2022-02-07,"41,650원","44,400원","41,600원","42,350원","6,206,268건",0.59%
2022-02-08,"42,500원","44,700원","42,500원","44,650원","4,619,733건",5.43%
2022-02-09,"45,250원","45,300원","43,800원","44,200원","1,795,917건",-1.01%
2022-02-10,"44,900원","44,950원","42,550원","42,800원","4,415,967건",-3.17%
2022-02-11,"42,200원","43,200원","41,550원","42,150원","2,236,543건",-1.52%
2022-02-14,"41,500원","43,950원","41,000원","43,950원","2,375,865건",4.27%
2022-02-15,"43,800원","44,800원","43,400원","44,200원","2,176,377건",0.57%
2022-02-16,"45,250원","46,500원","45,050원","46,450원","2,671,604건",5.09%
2022-02-17,"46,650원","49,900원","46,300원","49,400원","6,275,312건",6.35%
2022-02-18,"48,550원","50,300원","47,800원","49,350원","2,429,903건",-0.10%
2022-02-21,"48,350원","49,500원","48,100원","48,900원","1,327,359건",-0.91%
2022-02-22,"48,100원","48,700원","47,000원","47,250원","1,860,053건",-3.37%
2022-02-23,"47,600원","48,000원","47,050원","47,100원","987,573건",-0.32%
2022-02-24,"46,550원","48,250원","46,300원","46,900원","1,672,140건",-0.42%
2022-02-25,"47,750원","48,950원","47,450원","47,750원","1,879,588건",1.81%
2022-02-28,"47,850원","48,650원","47,600원","48,000원","1,108,458건",0.52%
2022-03-02,"47,600원","48,150원","47,500원","47,900원","813,429건",-0.21%
2022-03-03,"48,300원","48,800원","48,200원","48,600원","1,014,446건",1.46%
2022-03-04,"48,350원","50,300원","48,350원","48,700원","1,928,618건",0.21%
2022-03-07,"48,200원","48,200원","47,300원","47,350원","1,175,263건",-2.77%
2022-03-08,"46,650원","48,500원","46,100원","48,000원","1,817,425건",1.37%
2022-03-10,"48,500원","49,950원","48,100원","48,150원","1,492,601건",0.31%
2022-03-11,"48,750원","49,150원","48,200원","48,900원","935,328건",1.56%
2022-03-14,"48,950원","50,000원","48,900원","49,800원","1,481,934건",1.84%
2022-03-15,"50,200원","52,600원","49,850원","52,500원","2,845,488건",5.42%
2022-03-16,"53,100원","53,500원","51,400원","52,600원","1,531,086건",0.19%
2022-03-17,"53,300원","53,600원","52,000원","52,100원","1,248,069건",-0.95%
2022-03-18,"52,300원","52,800원","51,800원","52,800원","834,273건",1.34%
